iter	Passed	Remaining
377	111180	124122
378	111451	123802
379	111743	123505
380	112016	123188
381	112310	122894
382	112607	122603
383	112897	122305
384	113185	122005
385	113479	121711
386	113759	121401
387	114054	121109
388	114323	120788
389	114597	120473
390	114888	120177
391	115176	119877
392	115449	119562
393	115723	119248
394	115998	118935
395	116269	118618
396	116605	118367
397	116884	118059
398	117177	117764
399	117449	117449
400	117739	117152
401	118022	116847
402	118295	116534
403	118575	116226
404	118859	115924
405	119145	115623
406	119417	115309
407	119737	115041
408	120026	114743
409	120305	114436
410	120589	114134
411	120870	113829
412	121154	113527
413	121457	113242
414	121749	112948
415	122050	112662
416	122342	112367
417	122627	112066
418	122911	111764
419	123188	111455
420	123461	111144
421	123758	110854
422	124151	110650
423	124536	110438
424	124886	110193
425	125228	109942
426	125552	109674
427	125901	109428
428	126236	109169
429	126505	108853
430	126780	108542
431	127051	108229
432	127332	107923
433	127608	107614
434	127884	107305
435	128172	107006
436	128459	106706
437	128737	106399
438	129007	106085
439	129287	105780
440	129573	105480
441	129858	105179
442	130136	104873
443	130415	104567
444	130700	104266
445	130977	103959
446	131306	103694
447	131612	103410
448	131901	103111
449	132192	102816
450	132481	102518
451	132776	102226
452	133087	101945
453	133414	101676
454	133751	101416
455	134065	101137
456	134379	100858
457	134687	100574
458	135036	100320
459	135353	100044
460	135698	99787
461	135994	99493
462	136290	99200
463	136598	98915
464	136908	98632
465	137285	98398
466	137674	98170
467	137996	97894
468	138340	97634
469	138688	97376
470	139241	97262
471	139706	97083
472	140140	96883
473	140576	96683
474	141076	96526
475	141476	96299
476	141948	96120
477	142361	95900
478	142802	95698
479	143269	95513
480	143916	95445
481	144275	95185
482	144600	94903
483	144922	94618
484	145480	94487
485	146035	94352
486	146539	94182
487	147085	94038
488	147557	93845
489	147941	93595
490	148274	93313
491	148793	93147
492	149319	92983
493	149841	92817
494	150309	92614
495	150669	92345
496	151014	92067
497	151337	91775
498	151648	91475
499	152150	91290
500	152557	91047
501	152891	90760
502	153255	90490
503	153579	90197
504	153948	89930
505	154314	89661
506	154644	89370
507	154963	89073
508	155283	88776
509	155646	88504
510	155997	88225
511	156349	87946
512	156680	87655
513	157004	87360
514	157330	87066
515	157690	86791
516	158032	86504
517	158362	86212
518	158766	85960
519	159116	85678
520	159472	85399
521	159801	85104
522	160123	84807
523	160534	84556
524	160980	84322
525	161436	84094
526	161852	83843
527	162235	83575
528	162588	83292
529	162932	83003
530	163257	82704
531	163573	82401
532	163885	82096
533	164213	81799
534	164555	81508
535	164927	81233
536	165267	80941
537	165593	80642
538	165904	80336
539	166224	80034
540	166570	79744
541	167004	79496
542	167332	79198
543	167651	78894
544	167973	78593
545	168312	78299
546	168651	78005
547	168977	77704
548	169305	77405
549	169641	77109
550	169951	76802
551	170290	76507
552	170614	76205
553	170935	75902
554	171275	75608
555	171588	75301
556	171925	75005
557	172254	74705
558	172597	74411
559	172962	74126
560	173314	73836
561	173792	73598
562	174145	73308
563	174485	73011
564	174809	72708
565	175133	72404
566	175478	72110
567	175809	71809
568	176128	71503
569	176451	71199
570	176781	70898
571	177099	70592
572	177438	70294
573	177758	69988
574	178067	69678
575	178468	69404
576	178898	69140
577	179349	68885
578	179704	68592
579	180058	68298
580	180417	68006
581	180779	67714
582	181160	67430
583	181701	67204
584	182128	66936
585	182493	66644
586	182844	66347
587	183260	66073
588	183596	65770
589	183937	65469
590	184288	65171
591	184696	64893
592	185063	64600
593	185431	64308
594	185845	64030
595	186335	63779
596	186724	63492
597	187094	63199
598	187495	62915
599	187902	62634
600	188373	62373
601	188879	62123
602	189352	61861
603	189791	61588
604	190292	61333
605	190785	61076
606	191289	60821
607	191807	60570
608	192261	60298
609	192647	60005
610	193034	59711
611	193408	59412
612	193726	59097
613	194023	58775
614	194328	58456
615	194657	58144
616	195079	57859
617	195482	57569
618	195839	57264
619	196212	56964
620	196592	56666
621	196982	56371
622	197390	56080
623	197798	55789
624	198180	55490
625	198573	55194
626	198971	54899
627	199369	54604
628	199749	54303
629	200167	54013
630	200605	53727
631	201123	53463
632	201629	53194
633	202088	52912
634	202519	52623
635	202934	52329
636	203319	52026
637	203661	51713
638	204034	51407
639	204368	51092
640	204845	50811
641	205287	50522
642	205686	50222
643	206034	49908
644	206389	49597
645	206808	49301
646	207208	48999
647	207616	48700
648	208042	48404
649	208473	48109
650	208927	47818
651	209367	47525
652	209775	47223
653	210188	46922
654	210605	46622
655	211029	46323
656	211403	46013
657	211827	45713
658	212197	45401
659	212593	45095
660	213001	44791
661	213379	44480
662	213747	44168
663	214120	43856
664	214489	43542
665	214842	43226
666	215209	42912
667	215575	42598
668	215994	42294
669	216371	41982
670	216774	41674
671	217132	41358
672	217517	41047
673	217887	40732
674	218288	40423
675	218601	40098
676	218970	39783
677	219277	39457
678	219652	39142
679	220002	38823
680	220372	38508
681	220734	38191
682	221086	37872
683	221425	37551
684	221816	37239
685	222215	36927
686	222615	36616
687	222992	36301
688	223337	35980
689	223683	35659
690	224039	35340
691	224374	35017
692	224692	34692
693	225081	34378
694	225434	34058
695	225776	33736
696	226163	33421
697	226485	33096
698	226851	32778
699	227216	32459
700	227572	32139
701	227931	31819
702	228278	31497
703	228617	31175
704	228952	30851
705	229299	30529
706	229599	30201
707	229901	29874
708	230208	29547
709	230526	29221
710	230839	28895
711	231251	28581
712	231585	28257
713	231969	27940
714	232481	27637
715	233026	27338
716	233494	27029
717	233941	26717
718	234353	26401
719	234685	26076
720	234990	25747
721	235353	25426
722	235713	25103
723	236083	24782
724	236436	24458
725	236765	24133
726	237100	23807
727	237422	23481
728	237787	23158
729	238132	22834
730	238474	22509
731	238854	22188
732	239240	21867
733	239684	21552
734	240031	21227
735	240369	20901
736	240712	20576
737	241074	20252
738	241439	19929
739	241761	19602
740	242086	19275
741	242412	18948
742	242834	18629
743	243289	18312
744	243701	17991
745	244058	17666
746	244426	17342
747	244802	17018
748	245139	16691
749	245498	16366
750	245865	16041
751	246223	15716
752	246595	15391
753	246907	15063
754	247236	14735
755	247556	14408
756	247920	14082
757	248275	13756
758	248611	13429
759	248957	13103
760	249282	12775
761	249683	12451
762	250040	12125
763	250376	11797
764	250725	11471
765	251111	11145
766	251513	10821
767	251860	10494
768	252188	10166
769	252609	9841
770	252971	9515
771	253263	9185
772	253587	8857
773	253938	8530
774	254287	8202
775	254629	7875
776	254933	7546
777	255324	7219
778	255715	6893
779	256083	6566
780	256465	6239
781	256862	5912
782	257315	5586
783	257759	5260
784	258155	4932
785	258526	4604
786	258900	4276
787	259214	3947
788	259588	3619
789	259986	3290
790	260366	2962
791	260745	2633
792	261071	2304
793	261384	1975
794	261712	1645
795	262055	1316
796	262461	987
797	262828	658
798	263167	329
799	263496	0
