iter	MultiClass
379	0.5637393444
380	0.5627632575
381	0.5615356542
382	0.5597318654
383	0.5587586313
384	0.5576930725
385	0.5566309599
386	0.5549523586
387	0.5532768102
388	0.5516470342
389	0.5501527896
390	0.5494374317
391	0.5474704186
392	0.5463320223
393	0.544635293
394	0.5429786655
395	0.5420416953
396	0.5404645341
397	0.5387307012
398	0.5371654543
399	0.5359289175
400	0.5343350913
401	0.5331552486
402	0.5323533894
403	0.5310295411
404	0.5297559993
405	0.5286146784
406	0.5276702104
407	0.5268379705
408	0.5251015322
409	0.523630549
410	0.5224620147
411	0.521050016
412	0.519896839
413	0.5182615552
414	0.5170206089
415	0.5157680513
416	0.5146193703
417	0.5128719107
418	0.5117996293
419	0.5106045515
420	0.5091023843
421	0.5080221768
422	0.5061035367
423	0.5049844682
424	0.5033939981
425	0.5021848446
426	0.5008793972
427	0.4999244669
428	0.498054417
429	0.4971252695
430	0.4964094985
431	0.4953616751
432	0.4943463309
433	0.4931010758
434	0.4919645558
435	0.4902729708
436	0.4890764769
437	0.4877875216
438	0.486383407
439	0.4852269044
440	0.4839929724
441	0.4827489149
442	0.4817558678
443	0.4805671553
444	0.4794022233
445	0.4780673757
446	0.4769935089
447	0.4754961261
448	0.4743774154
449	0.4730224034
450	0.4714180994
451	0.4706722222
452	0.4693344316
453	0.4683295968
454	0.4673586462
455	0.4663908259
456	0.4653551594
457	0.4640589955
458	0.4632124086
459	0.4620597556
460	0.4607393317
461	0.4598516747
462	0.4588353982
463	0.4575854209
464	0.456538039
465	0.4558818246
466	0.4546605105
467	0.4539106855
468	0.4527315833
469	0.4516190846
470	0.4505506241
471	0.449691671
472	0.4484514969
473	0.4473911339
474	0.4464914852
475	0.4459674962
476	0.4449795045
477	0.4436721405
478	0.4427375659
479	0.4414160975
480	0.4404063805
481	0.4391871049
482	0.4385356374
483	0.4374852419
484	0.4369891382
485	0.4359880597
486	0.4344871572
487	0.4332894927
488	0.4322915033
489	0.4314860687
490	0.4308043728
491	0.4293840918
492	0.4281586236
493	0.4274749541
494	0.4265082794
495	0.4256418492
496	0.4246887724
497	0.4237247183
498	0.4227710895
499	0.4219597246
500	0.4212899023
501	0.4200300792
502	0.4188226927
503	0.417886503
504	0.4168631395
505	0.4159179935
506	0.415369475
507	0.4147256545
508	0.4138790261
509	0.4130719863
510	0.4121897301
511	0.4110750754
512	0.4097443432
513	0.4087643694
514	0.407973448
515	0.4069093915
516	0.4059023159
517	0.4051885164
518	0.4044139195
519	0.4036349721
520	0.40258856
521	0.4016730251
522	0.4012007039
523	0.4000642061
524	0.3989932049
525	0.3980414314
526	0.3970107199
527	0.3961001228
528	0.3949176199
529	0.3940780968
530	0.3929208261
531	0.3922445138
532	0.3912612718
533	0.3908658697
534	0.3901209793
535	0.3892757414
536	0.3882117508
537	0.38704705
538	0.3863664061
539	0.3855099564
540	0.3844308539
541	0.3836767161
542	0.3830140652
543	0.3823241246
544	0.3814341283
545	0.3805961328
546	0.3801564357
547	0.3793262646
548	0.3787300607
549	0.3778238518
550	0.3769121387
551	0.3766923954
552	0.376198534
553	0.3755453309
554	0.3750439172
555	0.3743385445
556	0.3732387597
557	0.3725345105
558	0.3711994126
559	0.3703180188
560	0.3692934199
561	0.3686022804
562	0.3676407599
563	0.366759004
564	0.3661693573
565	0.3655389356
566	0.3646702229
567	0.3639592144
568	0.3631831987
569	0.3625356326
570	0.3620707302
571	0.3611533435
572	0.3600894802
573	0.3592142212
574	0.3581140044
575	0.3573228531
576	0.3563837089
577	0.3552870207
578	0.3544366268
579	0.3536225715
580	0.3527281245
581	0.3519607695
582	0.3515061585
583	0.3509297502
584	0.3502769023
585	0.3494650786
586	0.3487488017
587	0.3476221793
588	0.3467794262
589	0.3461057058
590	0.3455562422
591	0.3447990051
592	0.3441445013
593	0.3437960554
594	0.3431739603
595	0.3425073363
596	0.3420307956
597	0.3413161038
598	0.3402802078
599	0.3397280088
600	0.3387941082
601	0.3379123901
602	0.3370974765
603	0.3362951319
604	0.3355680307
605	0.3348992743
606	0.3342560186
607	0.3333855437
608	0.3328669505
609	0.3323958783
610	0.3317592465
611	0.3310762272
612	0.3302998849
613	0.3298096112
614	0.3291920626
615	0.3285545204
616	0.3280012444
617	0.3273575101
618	0.3267412179
619	0.3262564367
620	0.3254828335
621	0.3245918816
622	0.3237582038
623	0.3231172411
624	0.322256228
625	0.3214745606
626	0.3208651926
627	0.3201740364
628	0.3197910375
629	0.3189882836
630	0.3184881297
631	0.3179155382
632	0.3169426524
633	0.3161689746
634	0.3154664241
635	0.3147603114
636	0.314306979
637	0.3135864175
638	0.3130645217
639	0.3123203543
640	0.311506762
641	0.3108598089
642	0.3102409056
643	0.3095644901
644	0.3088605837
645	0.3081878503
646	0.3078834747
647	0.3073735649
648	0.3065386817
649	0.3056798956
650	0.3050553768
651	0.3042388169
652	0.3038962583
653	0.3032659806
654	0.3024103795
655	0.3018633441
656	0.3012319445
657	0.3005972317
658	0.3000702617
659	0.2993499339
660	0.2985996503
661	0.2980730224
662	0.2974667813
663	0.2971675055
664	0.2965581647
665	0.2961154717
666	0.2955139363
667	0.2948799004
668	0.2942949265
669	0.2935507316
670	0.2928840839
671	0.2921527082
672	0.2915582576
673	0.2908532317
674	0.2902029379
675	0.2895912835
676	0.2889463158
677	0.288353012
678	0.287840109
679	0.287348037
680	0.2868196181
681	0.2863044359
682	0.285937802
683	0.2854192441
684	0.2848748802
685	0.2842783442
686	0.2838767658
687	0.2831388185
688	0.2827123719
689	0.2820466132
690	0.2814917606
691	0.2809607868
692	0.2804953792
693	0.2799747461
694	0.2793954557
695	0.2788125918
696	0.2780592792
697	0.2773562029
698	0.2766285536
699	0.2761014218
700	0.2755340089
701	0.2751568251
702	0.2746644054
703	0.2740867221
704	0.2735362443
705	0.2727796102
706	0.2720314348
707	0.2714210309
708	0.270878722
709	0.2704898915
710	0.2700303833
711	0.2695336891
712	0.2691922026
713	0.2686190099
714	0.2681904014
715	0.2676184896
716	0.2670250378
717	0.2666574333
718	0.2662463455
719	0.2658095571
720	0.2651260923
721	0.2647087054
722	0.2645091473
723	0.2639392148
724	0.2633505666
725	0.2630272821
726	0.2624726792
727	0.2620819032
728	0.2613299029
729	0.2610337981
730	0.2606122396
731	0.2600623967
732	0.2595590719
733	0.2593273771
734	0.2589750356
735	0.2584142102
736	0.2579121855
737	0.2574336113
738	0.2568814977
739	0.2562708918
740	0.2558547649
741	0.255365693
742	0.2549985755
743	0.2544258814
744	0.2537713283
745	0.2532242316
746	0.2526252345
747	0.252107289
748	0.2515202853
749	0.2513474232
750	0.2510498696
751	0.2506062748
752	0.2499620741
753	0.2496958223
754	0.2492552754
755	0.2489093605
756	0.2485103252
757	0.2480278891
758	0.2474159093
759	0.2469689189
760	0.2465450145
761	0.2460185736
762	0.2455285421
763	0.2449751397
764	0.2445577548
765	0.2441409414
766	0.2436494482
767	0.2431374811
768	0.2425378927
769	0.2420795932
770	0.2415207738
771	0.2412404979
772	0.2411731118
773	0.2408286007
774	0.2404043645
775	0.2401005479
776	0.239840437
777	0.2393310252
778	0.2390287962
779	0.2386713104
780	0.2381804479
781	0.2378180962
782	0.2374331169
783	0.2371655932
784	0.23654136
785	0.2362119119
786	0.2358287511
787	0.2355277217
788	0.2350604592
789	0.2346138998
790	0.2340569659
791	0.2335569101
792	0.2331156372
793	0.2328760152
794	0.2324760457
795	0.2319872052
796	0.2315310417
797	0.2311105025
798	0.2308760849
799	0.2306603484
